acc_no,origin,COUNTRY.of.origin
1190783,SUN,USSR
1190784,ITA,Italy
1190786,SUN,USSR
1190787,SUN,USSR
1190788,SUN,USSR
1190789,SUN,USSR
1190790,SUN,USSR
1190792,SUN,USSR
1190793,SUN,USSR
1190794,SUN,USSR
1190795,SUN,USSR
1190796,SUN,USSR
1190797,SUN,USSR
1190798,SUN,USSR
1190799,SUN,USSR
1190800,SUN,USSR
1190801,SUN,USSR
1190802,SUN,USSR
1190803,IND,India
1190804,SUN,USSR
1190805,SUN,USSR
1190806,ITA,Italy
1190807,SUN,USSR
1190808,SUN,USSR
1190809,SUN,USSR
1190810,SUN,USSR
1190811,TUN,Tunisia
1190812,CHN,China
1190813,IND,India
1190814,TUN,Tunisia
1190815,,
1190816,ITA,Italy
1190817,CHN,China
1190818,CHN,China
1190819,CHN,China
1190820,CHN,China
1190821,CHN,China
1190822,CHN,China
1190823,CHN,China
1190824,CHN,China
1190825,CHN,China
1190826,CHN,China
1190827,CHN,China
1190828,CHN,China
1190829,CHN,China
1190879,IRQ,Iraq
1190882,CHN,China
1190883,AUS,Australia
1190884,IRN,Iran
1190885,IRN,Iran
1190886,IRN,Iran
1190903,IND,India
1190904,ESP,Spain
1190911,HUN,Hungary
1190912,HUN,Hungary
