"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190075",-34.4622368436953,-9.16131557187526,24.9696904631177,41.6844765177927,-23.9541931073927,-2.03204372491361,-1.15894426316428,-9.08650870310605,6.56491239095986,1.0398752074355,"Yugoslavia","Eastern Europe"
"1190076",-31.855199570217,-21.0823881186377,26.6170076694237,59.7853646587244,-11.8041168391147,7.46492917237822,30.4469713728333,12.76797186065,-21.0969334946079,-29.8458373897057,"Yugoslavia","Eastern Europe"
"1190077",-31.9712227011304,-3.7711023500298,23.3000935625931,22.7457272428572,-45.0797750968175,-12.9506479150791,-32.2879595419803,-32.0747259577868,34.0774733091048,22.5975497706327,"Yugoslavia","Eastern Europe"
"1190078",-13.3983108952174,-42.9109033726819,-11.3010214459465,-1.89717367763611,12.8236317073397,-2.91147815608764,-2.81258794755393,1.38397020258709,12.1667487205438,-5.0174642046578,"Yugoslavia","Eastern Europe"
"1190079",-8.98394733317727,-2.56661121508274,-14.4276989291352,-2.09877504072175,21.050597649676,-0.719331991054984,-6.51079021959195,-3.82645085343485,1.66219742810272,12.2578778208668,"India","South/Central Asia"
"1190080",-10.4225262142405,-4.73120131165377,10.2156457903634,5.91856113149002,11.7416962835867,4.69590696130284,-2.92960524047215,-23.637639566213,-17.3900056521226,17.2804291838782,"India","South/Central Asia"
"1190081",16.8504999586662,-39.8125353974075,-16.2694075836972,6.35327800362227,34.1327825307359,0.977752933932026,-3.66470301616406,-36.6444821188917,-33.6837489403482,19.6129827858596,"India","South/Central Asia"
"1190082",18.7431048533017,-11.3799228423583,15.7634336006582,20.272518270296,25.040212411746,-22.5541959111874,6.18992558078633,-8.17149255345036,-18.9152022095795,-6.02636912283927,"India","South/Central Asia"
"1190083",-34.3380422246791,5.799936212333,27.0498986526428,-4.54805765706454,-8.97703438386018,8.98630148244943,-4.05240150787048,-0.75026413805266,-10.168896558083,4.38484014649541,"Spain","Western/Southern Europe"
"1190084",-32.2484386776287,-3.34828249874196,23.3622067082615,21.3565663001347,-39.0891375618277,-8.08111716480212,-21.3297684461813,-30.7706734602027,29.9217124058129,20.8883551676493,"Spain","Western/Southern Europe"
"1190085",17.0998832310155,-39.8635888323951,-16.6350056231559,6.52017739472431,34.1868989894449,0.950848155881258,-3.90418112391172,-36.8287201729287,-33.8821722857585,19.8217194392259,"Spain","Western/Southern Europe"
"1190086",-17.6928762385167,3.28041972264742,32.2273900405487,-2.41483026376948,8.12717924366606,3.27081649665297,-3.98371607172703,-8.50139775784368,-11.9760553996826,-0.250456848317226,"India","South/Central Asia"
"1190087",18.7212675163033,2.23371493883297,-14.7323579663521,6.34437005907146,5.57313151516861,-14.0066442566123,4.31920045368935,-4.44929270905131,-6.30592891738924,0.321271187454293,"India","South/Central Asia"
"1190088",-4.5049187113803,15.5291846057704,-13.604059255362,30.2867538831616,3.68207701275826,43.1391276546257,-65.6020734113733,18.8365083658312,-8.4494690992816,0.576662888182112,"Poland","Eastern Europe"
"1190089",-3.77743015631263,-9.7031325528518,4.3160236482855,19.6575610140975,-16.4390948411339,-15.078400689713,-30.1611725831647,-37.9193258647834,11.565394876505,25.1296236236408,"Australia","Oceania"
"1190090",-9.47825856118271,-40.453282457424,-4.01159946451099,-3.36490548421795,9.79464727505676,1.91191204271726,-9.37975548907676,-2.37748375904445,6.64990426027971,-8.95546764461838,"Australia","Oceania"
"1190091",-20.6386648745326,-31.9402193143088,10.0418092904062,33.2496816800572,2.43901530383837,2.24766628765161,19.0500317930361,-0.497437545936547,-25.9880304597752,-5.95004568302761,"India","South/Central Asia"
"1190092",18.9824675497929,-4.2819168588612,-1.21875821732104,23.8639161970063,11.392110883689,-10.7411185003296,6.06442432658756,-3.65255947650185,-3.57854781172696,1.69399919129323,"India","South/Central Asia"
"1190093",-27.3683290179163,28.7876632569431,-21.9468502284663,0.703043593722968,-0.65867161544601,-7.41273102256052,9.93691983887955,-11.171450969595,2.95809835033458,6.22862701910998,"India","South/Central Asia"
"1190094",-23.5442155494782,20.558101785226,-6.40985179270736,-4.55607987009241,0.798404487014097,6.73643462500061,11.7775082130386,-11.5890547654088,-0.255355147104801,15.257588571237,"India","South/Central Asia"
"1190095",-26.9994029138954,-16.7452975964327,10.4760943194579,28.2010892865704,-4.70977595901211,-12.0421567050185,24.3930585633442,10.2153951223504,-13.5721987037228,-11.8019670077065,"China","East Asia"
"1190096",-16.5225687562701,-29.876416679003,-2.98021627759366,30.2533315154066,-6.09591809624955,0.710168933184915,15.4011790291606,3.7812795921422,-3.97173062318688,-2.80176644979578,"Romania","Other/Unknown"
"1190097",-23.8869569565859,-24.124613832606,3.32969566846996,35.3532392287033,-9.70842325857963,6.2701756132663,26.8911448760876,7.00099708226884,-1.95163550528516,-7.27401266972397,NA,"Other/Unknown"
"1190098",-29.389805800965,-14.0201652866109,9.76166618871229,45.0503161497805,-11.2982053912458,2.665455716976,12.6221789699289,-9.33155712383536,-8.55812411436262,-3.26497736806422,"Poland","Eastern Europe"
"1190101",-23.7129848777054,-24.1318961422771,3.09604838857785,35.2917039758654,-9.93493416451421,6.56954157069165,26.7746644744788,7.0378959412761,-2.30906069080278,-7.36394200169963,NA,"Other/Unknown"
"1190102",-36.9909450591839,28.0663691548056,40.1082161693157,-16.3911161166735,12.0615389591622,9.11987884816501,1.70437773541534,-8.73090551170969,-3.19034969825625,1.81118917301584,"Italy","Western/Southern Europe"
